customer_id,issue,matched_person_ids
14069,multi_match,"b20c87eb-fe7c-4cef-944e-76fe0fd03612,c6cb3663-0c6d-4297-beab-e44cf5f7882f"
15092,multi_match,"252e3590-e68c-4225-9386-b368045a8585,9f0c4b6f-9428-4287-b23d-77982d913e0b"
15159,multi_match,"17789b57-828b-41dd-8e9b-ca09659c1384,af7fae64-d970-41df-b4de-790d549b41bb"
15535,multi_match,"1b1e9bc2-c3ae-4f54-9634-c9e48ec65fe1,5a398e29-567e-4f93-8af9-52e958b28d47"
16258,multi_match,"4a5ebda6-5c92-46f0-b927-0d0f19e14ecf,bb5ca2d7-aa27-4c17-9e1d-e05f0ffe70ea"
16548,multi_match,"540bc08e-62c1-467b-999f-514c720acf11,8e4528d3-28bf-4622-98a6-d194f5f85b99"
16640,multi_match,"6ab25bb3-00c3-4ce7-9620-dda59ee4f59c,f7853bcc-e337-44fc-a51e-881b19a5f419"
16800,multi_match,"1b3ba15b-12f7-47f6-a28b-c1e4b1116f43,43048481-f87c-4ec9-9738-53cd90ce58d7"
16807,multi_match,"3e9ce42d-43d8-4075-aa94-52e15f4b8886,8e9338d1-e421-472a-a71a-c742e406d7b3"
16959,multi_match,"a8b5f688-71e4-4d3d-aae6-2be8d4927434,eb72e5e1-e2e3-42ab-862c-7e106736a1b9"
17101,multi_match,"4552fd5d-da41-4af0-993b-635df23a3287,83b8b3f9-a785-4820-a935-01d8ac511f80"
17206,multi_match,"668740ec-01e2-4577-a455-56abae31bab2,97c483e2-1a95-498b-8cd8-844623e50dc8"
17448,multi_match,"9244c516-18f6-4b93-acee-a99d34d86873,ffcdfbca-9a07-428d-b028-b7df27e52c09"
17820,multi_match,"66725106-31b0-4a64-9713-45473c4e7179,6db8d805-16d8-4a0c-886c-9a431f8d3b67"
24286,multi_match,"b280666b-9e69-4227-a940-0b8b955e57e5,b75718f4-abcd-4599-9580-9235fde45ddc"
24460,multi_match,"4e116397-2f4a-4e50-a2fa-909f7f18784e,524561f5-10c2-4bbd-af05-b0cf6ce8ad5b"
24853,multi_match,"0fc2ab1e-dfaa-4863-b629-e4e40df72ac1,c4066b3f-c11f-4740-97ee-7ca871dc774f"
24940,multi_match,"90eebd5f-38f5-4f90-bc53-c6293f435adb,9b67c466-2820-47f8-8288-3fff930e233d"
25383,multi_match,"6c060495-3bdc-4984-b5c6-2068aba2f398,e2c98daa-984c-4c74-9418-603df3861460"
25409,multi_match,"8fca1f33-4125-4ed5-8208-6cfb5212d0a1,e4693b69-fe23-4118-9712-aced26a1e8cc"
25481,multi_match,"4eb4f78b-7e70-4a8e-8f47-ce07fea76927,abbd8798-e808-4451-8fb7-d8087fa88858"
25483,multi_match,"4017d313-f2b2-4f68-9698-158cbf26a8db,7fbcf5f4-f695-4462-bb61-0192d491b7a6"
25661,multi_match,"49470b62-fd8b-4d77-ab76-393cea3abf71,ab1842b6-8f33-4250-a1fc-e02e00e53733"
25695,multi_match,"10bd129c-7e32-4585-b286-1c264c3c4489,4cd1c4f6-ba5c-4f62-912c-c75df48e694c"
25726,multi_match,"6eb14b95-3ead-47b1-af56-8166ee520645,b9aed13f-f2d3-4ade-8039-bb402accc084"
25736,multi_match,"abf620eb-8b0a-4ecf-a32d-58fd70c5adc7,cd3b594f-1f24-41b3-bf89-1ca45e4ee0a4"
25775,multi_match,"3d4f2d20-5849-4396-a800-8f31e2210fa4,79594462-f0a8-4dc2-b03c-c58901415150,8eb9a087-9bef-474c-b14c-2e5f40f7673e"
25848,multi_match,"03dd4040-0ad2-4be5-88b8-01cc44cecdbb,3108cd84-b56d-4162-b2fd-16014dcd0563"
